movie_id,user_id,rating,date
5,1935793,3,2005-04-18
9,235789,4,2004-10-27
48,2349702,3,2002-07-22
47,2227850,2,2005-09-10
107,10268,3,2002-10-15
83,1374197,3,2004-01-27
77,1766397,4,2004-06-03
83,1788180,3,2002-12-22
77,2045949,2,2004-03-22
30,2607155,4,2004-06-04
44,844028,5,2003-08-14
110,541796,3,2005-08-26
111,603543,2,2004-11-29
122,723448,3,2004-11-03
77,1687642,1,2001-01-20
57,2138987,3,2004-03-16
46,1916224,3,2000-04-16
67,340479,1,2004-11-11
28,447836,3,2005-02-19
143,2011043,4,2003-02-13
28,2488357,5,2003-08-22
58,491531,5,2004-09-28
28,807890,4,2004-09-11
55,1596469,3,2005-04-18
110,1105029,3,2004-08-19
131,416560,2,2002-09-21
3,381346,3,2004-06-08
73,1280761,5,2005-12-12
83,1640334,4,2003-06-25
138,2077046,4,2005-04-05
104,2446442,5,2004-01-17
16,2494071,3,2005-11-22
61,798296,1,2003-01-07
111,1130133,2,2004-06-25
16,1092677,3,2004-04-08
143,1181111,2,2005-10-13
26,1029163,2,2004-08-15
83,752853,3,2000-09-05
58,87360,4,2005-01-03
18,729150,4,2004-11-24
30,2329026,3,2005-04-15
16,1342551,4,2002-12-24
111,2606685,3,2004-03-30
46,2260788,3,2002-02-16
77,853135,3,2004-06-28
28,923517,4,2005-06-04
76,647979,3,2005-04-10
30,2051123,3,2004-06-07
68,972399,5,2005-04-08
12,2153721,2,2001-06-29
118,1004481,4,2001-07-10
28,2203182,4,2005-02-05
146,2333850,2,2004-02-04
79,1717060,4,2004-10-11
27,1452669,3,2005-09-23
143,2375380,4,2005-02-04
77,2033811,2,2005-11-23
46,458143,3,2001-08-18
58,2040676,2,2005-09-08
26,2446442,3,2004-07-20
126,2634967,1,2004-04-10
111,2565354,4,2004-06-14
111,1821474,2,2005-08-15
143,1250320,5,2005-06-08
6,1663888,3,2004-09-28
118,2006505,5,2004-12-09
28,2349702,3,2005-01-02
50,1556831,3,2004-08-01
125,872882,4,2005-10-05
16,2203182,4,2005-02-05
118,814740,3,2005-08-18
77,1194911,3,2005-12-04
30,328642,3,2004-12-27
36,507094,3,2005-06-01
6,1333911,4,2005-07-19
112,2222089,2,2003-03-25
43,2474661,2,2001-08-30
28,443447,5,2003-04-02
46,286684,4,2002-04-01
58,651541,3,2005-08-15
77,2434632,2,2004-07-06
108,1144139,2,2004-10-04
83,612111,4,2002-10-25
108,2187693,3,2005-08-19
16,2457095,4,2004-03-28
44,165374,3,2004-06-03
46,688455,4,2004-04-26
58,735636,4,2004-10-13
26,760924,3,2004-12-27
30,519965,5,2004-04-04
30,970756,4,2004-06-29
28,1934002,1,2005-12-10
29,442222,3,2004-01-19
58,2439493,1,2004-09-04
28,512303,5,2003-12-01
30,2384355,3,2004-07-20
77,1726499,2,2004-06-27
110,2621201,3,2004-06-23
32,324115,5,2005-09-04
81,1621023,3,2005-01-26
123,2056022,3,2005-02-24
8,956271,4,2005-09-21
33,1777163,5,2005-09-13
122,1457134,3,2003-05-15
12,2143500,3,2004-12-16
143,2310027,4,2001-05-28
76,2494071,4,2005-07-22
58,1475516,3,2004-10-04
30,868881,5,2004-04-16
135,1314869,4,2005-02-05
143,302425,5,2003-06-02
79,945258,4,2002-08-04
30,151004,5,2004-05-06
26,394895,3,2004-09-21
16,274652,3,2005-08-29
55,16272,3,2003-03-14
124,1774452,2,2001-07-03
30,1755852,5,2004-04-02
143,1831361,3,2004-12-21
52,1890622,3,2004-07-01
18,1620201,4,2001-12-11
18,306466,4,2001-03-29
58,1033930,4,2004-09-30
30,460446,3,2004-08-05
79,983069,1,2005-03-19
28,2518947,3,2004-05-26
111,2101842,3,2004-04-29
111,1480900,3,2004-03-17
26,1932785,2,2004-12-04
47,2344483,5,2002-04-30
30,1032165,4,2004-04-11
58,2570444,3,2004-12-28
16,492291,3,2005-05-13
29,2552319,3,2005-04-03
104,2102030,5,2004-02-28
118,237672,4,2005-07-25
63,2138793,4,2004-08-17
30,1548363,5,2005-07-18
143,652618,3,2004-01-08
16,437586,2,2003-10-30
77,844028,5,2003-07-25
143,1449810,3,2003-10-03
24,649969,5,2002-09-19
16,2205594,2,2001-12-07
83,483077,4,2005-11-14
44,904898,3,2005-05-15
58,15402,4,2005-04-13
136,2153721,3,2001-07-12
134,1045221,2,2003-03-24
108,905074,3,2005-09-23
81,1849620,4,2002-12-14
46,599145,1,2000-03-13
26,467885,1,2004-07-14
139,162348,3,2004-01-26
127,1815129,4,2004-08-03
18,1229252,1,2001-06-18
143,1401726,5,2005-03-09
118,654401,5,2005-01-19
58,1026933,3,2003-12-29
78,1731102,3,2004-12-26
138,1819462,1,2005-02-27
126,285174,4,2005-09-12
58,785992,4,2005-06-03
81,1902140,2,2004-10-15
18,1311346,2,2000-05-24
58,1224299,5,2005-02-16
28,908626,4,2003-07-22
83,2569071,3,2002-08-22
58,2536547,2,2004-09-03
77,1604329,3,2001-07-13
127,2208519,1,2003-10-01
36,962019,1,2005-09-03
75,2439493,1,2003-01-26
83,1034714,3,2004-03-30
18,320226,4,2005-12-23
111,2222177,3,2004-12-24
28,256465,3,2003-01-18
32,2429294,5,2005-12-20
118,2534061,2,2002-10-31
76,1857889,5,2004-12-01
111,2035994,2,2005-08-16
70,673040,3,2004-11-29
89,626531,2,2001-06-20
30,1719610,4,2005-08-04
28,1563429,3,2003-07-24
77,1880766,3,2004-06-29
103,2444240,2,2005-08-18
111,444566,3,2004-12-14
131,1532058,4,2004-08-11
30,2374782,3,2005-11-26
108,1407746,2,2005-03-17
146,2439493,1,2004-05-18
111,2378918,5,2004-03-24
133,2192840,4,2005-07-03
33,929308,1,2004-02-03
18,191869,3,2001-01-09
138,39375,1,2004-09-16
55,1068988,5,2005-06-14
78,2480084,4,2000-06-29
75,1520710,2,2005-11-25
58,1515355,5,2004-12-12
123,716173,3,2005-04-04
143,2159290,4,2002-10-20
97,123384,4,2004-11-27
30,872408,3,2004-04-26
28,1730537,5,2002-12-10
57,789014,1,2002-11-13
127,1859573,2,2005-02-03
108,111832,2,2005-10-24
143,223160,4,2004-05-24
